artifact_id,path,owner_team,version,due_gate,status
ART-H-001,registries/experiment_registry.csv,H,v0,first_round_artifact_gate,registered
ART-H-002,registries/artifact_registry.csv,H,v0,first_round_artifact_gate,registered
ART-H-003,artifacts/validation/validation_standard_v0.md,H,v0,first_round_artifact_gate,registered
ART-H-004,src/prediction_market/experiments.py,H,v0,first_round_artifact_gate,registered
ART-H-005,tests/test_experiment_registry.py,H,v0,first_round_artifact_gate,registered
ART-H-006,registries/experiment_amendment_ledger.csv,H,v0,first_round_artifact_gate,registered
ART-H-007,registries/dataset_registry.csv,H+C+I,v0,first_round_artifact_gate,registered
ART-H-008,registries/model_registry.csv,H+D1+D2+D3,v0,first_round_artifact_gate,registered
ART-X-001,registries/experiments/X-01.yaml,C,v0,first_round_artifact_gate,registered
ART-X-002,registries/experiments/X-02.yaml,C+H,v0,first_round_artifact_gate,registered
ART-X-003,registries/experiments/X-03.yaml,C+E,v0,first_round_artifact_gate,registered
ART-X-004,registries/experiments/X-04.yaml,E,v0,first_round_artifact_gate,registered
ART-X-005,registries/experiments/X-05.yaml,E+H,v0,first_round_artifact_gate,registered
ART-X-006,registries/experiments/X-06.yaml,D1+H,v0,first_round_artifact_gate,registered
ART-X-007,registries/experiments/X-07.yaml,F+E,v0,first_round_artifact_gate,registered
ART-X-008,registries/experiments/X-08.yaml,C+B,v0,first_round_artifact_gate,registered
ART-X-009,registries/experiments/X-09.yaml,B+A+H,v0,first_round_artifact_gate,registered
ART-X-010,registries/experiments/X-10.yaml,G+A,v0,first_round_artifact_gate,registered
ART-X-011,registries/experiments/X-11.yaml,D2+H,v0,first_round_artifact_gate,registered
ART-X-012,registries/experiments/X-12.yaml,D3+H+I,v0,first_round_artifact_gate,registered
ART-A-001,contracts/event-envelope/v0.schema.yaml,A,v0,first_round_artifact_gate,complete
ART-A-002,contracts/id-registry/v0/entity.schema.yaml,A,v0,first_round_artifact_gate,complete
ART-A-003,contracts/id-registry/v0/native-assertion.schema.yaml,A,v0,first_round_artifact_gate,complete
ART-A-004,contracts/id-registry/v0/relation-assertion.schema.yaml,A,v0,first_round_artifact_gate,complete
ART-A-005,contracts/model-output/v1.schema.yaml,A,v1,first_round_artifact_gate,complete
ART-A-006,contracts/venue-rule-snapshot/v0.schema.yaml,A+B+C,v0,first_round_artifact_gate,complete
ART-A-007,contracts/deterministic-replay/v0.md,A,v0,X09_deterministic_vertical_slice,complete
ART-A-008,artifacts/architecture/adr/0001-engine-decision-deferred.md,A,v0,first_round_artifact_gate,complete
ART-A-009,artifacts/architecture/adr/0002-native-adapter-control-plane-boundary.md,A,v0,first_round_artifact_gate,complete
ART-A-010,artifacts/architecture/adr/0003-hot-path-boundary.md,A,v0,first_round_artifact_gate,complete
ART-A-011,artifacts/architecture/adr/0004-event-sourcing.md,A,v0,first_round_artifact_gate,complete
ART-A-012,artifacts/architecture/adr/0005-fail-closed.md,A,v0,first_round_artifact_gate,complete
ART-A-013,contracts/market-relations/v0.yaml,A+G,v0,first_round_artifact_gate,complete
ART-A-014,contracts/quality-flags/v0.yaml,A+C,v0,first_round_artifact_gate,complete
ART-A-015,contracts/static-dataset-manifest/v0.schema.yaml,A+C,v0,first_round_artifact_gate,complete
ART-A-016,contracts/market-metadata-snapshot/v0.schema.yaml,A+C,v0,first_round_artifact_gate,complete
ART-A-017,contracts/game-state-step/v0.schema.yaml,A,v0,2026-08-05_W2_review,complete
ART-A-018,src/prediction_market/sports/game_state.py,A+D1+D2+D3+D4,v0,2026-08-05_W2_review,complete
ART-A-019,src/prediction_market/sports/event_envelopes.py,A+C+H,v0,2026-08-05_W2_review,complete
ART-A-020,artifacts/game-state/prediction_market_alignment_audit_v0.json,A+C+H,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-C-001,contracts/raw-capture/v0.schema.yaml,C,v0,X01_L2_reconstruction,complete
ART-C-002,data/raw/README.md,C,v0,X01_L2_reconstruction,complete
ART-C-003,data/manifests/README.md,C,v0,X01_L2_reconstruction,complete
ART-C-004,data/normalized/README.md,C,v0,X01_L2_reconstruction,complete
ART-C-005,artifacts/data-audit/phase0_coverage_cost_v0.md,C,v0,X01_L2_reconstruction,complete
ART-C-006,artifacts/data-audit/phase0_inventory.json,C,v0,X01_L2_reconstruction,complete
ART-C-007,artifacts/data-audit/phase1_schema_timestamp_v0.md,C+H,v0,X01_L2_reconstruction,complete
ART-C-008,artifacts/data-audit/phase1_nba_hour_sample.json,C,v0,X01_L2_reconstruction,complete
ART-C-009,artifacts/data-audit/phase1_sample_measurement.json,C+H,v0,X01_L2_reconstruction,complete
ART-C-010,artifacts/data-audit/l2_reconstructor_v0.md,C,v0,X01_L2_reconstruction,complete
ART-C-011,artifacts/data-audit/x02_full_day_input_manifest_2026-04-22_v1.json,C+H,v1,2026-08-05_W2_review,registered
ART-C-012,artifacts/data-audit/x02_full_day_input_manifest_2026-06-05_v1.json,C+H,v1,2026-08-05_W2_review,registered
ART-C-013,artifacts/data-audit/x02_full_day_input_manifest_2026-06-25_v1.json,C+H,v1,2026-08-05_W2_review,registered
ART-C-014,artifacts/data-audit/x02_timestamp_input_bundle_v1.json,C+H,v1,2026-08-05_W2_review,registered
ART-C-015,artifacts/data-audit/polymarket_v1_bounded_sports_extract_v0.json,C,v0,2026-07-29_W1,PRELIMINARY_RESEARCH_ONLY
ART-C-016,artifacts/data-audit/x01_full_day_input_manifest_v1.json,C+H,v1,X01_L2_reconstruction,complete
ART-C-017,artifacts/data-audit/x01_full_day_preflight_v1.json,C+H,v1,X01_L2_reconstruction,complete
ART-C-018,artifacts/data-audit/kalshi_public_backfill_v1.json,C,v1,2026-07-29_W1_data_ready,in_progress
ART-C-019,src/prediction_market/sports/x03.py,C+E,v0,2026-08-05_W2_review,POC_ONLY
ART-C-020,artifacts/data-audit/x02_timestamp_sample_measurement_v1.json,C+H,v1,2026-08-05_W2_review,in_progress
ART-B-001,artifacts/venue-connectivity/capability_matrix_v0.csv,B+C,v0,X08_prospective_recorder_continuity,complete
ART-B-002,artifacts/venue-connectivity/kalshi_credentials.md,B+C+I,v0,X08_prospective_recorder_continuity,complete
ART-B-003,artifacts/venue-connectivity/polymarket_public_smoke_v0.json,B+C,v0,X08_prospective_recorder_continuity,complete
ART-B-004,artifacts/venue-connectivity/polymarket-public-smoke-v0/raw/source=polymarket/stream=market/date=2026-07-23/hour=00/f314dd555f2d04e939674c8e46ea78d3b331d1737daf9691c911b24072b63b21.jsonl.zst,B+C,v0,X08_prospective_recorder_continuity,complete
ART-B-005,artifacts/venue-connectivity/polymarket-public-smoke-v0/manifests/source=polymarket/stream=market/date=2026-07-23/hour=00/f314dd555f2d04e939674c8e46ea78d3b331d1737daf9691c911b24072b63b21.manifest.json,B+C,v0,X08_prospective_recorder_continuity,complete
ART-B-006,artifacts/venue-connectivity/polymarket_recorder_supervisor_v1.md,B+C,v1,X08_prospective_recorder_continuity,complete
ART-B-007,artifacts/venue-connectivity/polymarket_recorder_smoke_20260722_v1.json,B+C,v1,X08_prospective_recorder_continuity,PRELIMINARY_RESEARCH_ONLY
ART-D1-001,artifacts/game-state/nba/baseline_v0.md,D1+H,v0,X06_calibration_gate,complete
ART-D1-003,artifacts/game-state/nba_state_engine_validation_v0.json,D1+H,v0,X06_contract_harness,PRELIMINARY_RESEARCH_ONLY
ART-D2-001,artifacts/game-state/nfl/evidence_pipeline_poc_v0.md,D2,v0,2026-08-05_W2_review,complete
ART-D2-002,artifacts/game-state/nfl/x11_real_data_pipeline_evidence_v0.json,D2+H,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-D2-003,artifacts/game-state/nfl_real_replay_validation_v0.json,D2+C,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-D3-001,artifacts/game-state/soccer/evidence_pipeline_poc_v0.md,D3,v0,2026-08-05_W2_review,complete
ART-D3-002,artifacts/game-state/soccer/x12_real_data_poc_v0.json,D3+H+I,v0,2026-08-05_W2_review,POC_ONLY
ART-D3-003,artifacts/game-state/soccer_real_replay_validation_v0.json,D3+C,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-D4-001,artifacts/game-state/mlb/source_inventory_v0.json,D4+I,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-D4-002,artifacts/game-state/mlb_real_replay_validation_v0.json,D4+C,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-D5-001,artifacts/game-state/f1/source_inventory_v0.json,D5+I,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
ART-E-001,artifacts/reaction-labels/x05_barrier_label_spec_v0.md,E+H,v0,X05_label_approval,complete
ART-F-001,contracts/tca/v0.schema.yaml,F,v0,2026-08-05_W2_review,complete
ART-F-002,artifacts/execution-tca/taker_simulator_spec_v0.md,F+E,v0,2026-08-05_W2_review,complete
ART-F-003,artifacts/execution-tca/maker_bounds_v0.md,F,v0,2026-08-05_W2_review,complete
ART-G-001,artifacts/strategy-reports/x10_matched_cluster_audit_v0.md,G+A+H,v0,2026-08-05_W2_review,complete
ART-G-002,artifacts/strategy-reports/modules/arbitrage.md,G,v0,2026-08-05_W2_review,complete
ART-G-003,artifacts/strategy-reports/modules/copy-trading.md,G,v0,2026-08-05_W2_review,complete
ART-G-004,artifacts/strategy-reports/modules/cross-venue.md,G,v0,2026-08-05_W2_review,complete
ART-G-005,artifacts/strategy-reports/modules/forecasting-agents.md,G,v0,2026-08-05_W2_review,complete
ART-G-006,artifacts/strategy-reports/modules/llm.md,G,v0,2026-08-05_W2_review,complete
ART-G-007,artifacts/strategy-reports/modules/news.md,G,v0,2026-08-05_W2_review,complete
ART-G-008,artifacts/strategy-reports/modules/weather.md,G,v0,2026-08-05_W2_review,complete
ART-G-009,artifacts/strategy-reports/modules/whale.md,G,v0,2026-08-05_W2_review,complete
ART-G-010,contracts/x10-gold-adjudication/v0.yaml,G+A+H,v0,2026-08-05_W2_review,complete
ART-I-001,registries/compliance_matrix.csv,I,v0,Team_I_compliance_green,complete
ART-I-002,registries/data_license_register.csv,I,v0,Team_I_compliance_green,complete
ART-I-003,artifacts/compliance/production_readiness_v0.md,I,v0,Team_I_compliance_green,complete
ART-I-004,artifacts/compliance/secret_management_v0.md,I,v0,Team_I_compliance_green,complete
ART-P-001,artifacts/architecture/week1_backlog_v0.csv,A+H,v0,first_round_artifact_gate,complete
ART-P-002,artifacts/architecture/risk_blocker_register_v0.csv,A+I,v0,first_round_artifact_gate,complete
ART-P-003,artifacts/architecture/program_status_v0.md,A,v0,first_round_artifact_gate,complete
ART-P-004,artifacts/architecture/x09_vertical_slice_v0.md,B+A+H,v0,X09_deterministic_vertical_slice,harness_pass
ART-P-005,artifacts/game-state/current_validation_report_zh_v0.md,A+H,v0,2026-08-05_W2_review,complete
ART-D1-002,artifacts/game-state/nba/x06_contract_fixture_v0.json,D1+H,v0,X06_contract_harness,registered
ART-H-009,artifacts/game-state/model_latency_v0.json,H+D2+D3,v0,2026-08-05_W2_review,PRELIMINARY_RESEARCH_ONLY
