catalog_item_id,source_name,status,commercial_use,redistribution,attribution_required,operational_use,evidence_as_of,evidence_url,open_blocker,approval_ref,owner,version,due_gate
O-001,Polymarket API and trading terms,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://polymarket.com/tos,Entity jurisdiction account context API use and current international versus US platform terms require Team I review,,I,v0,Team_I_compliance_green
O-002,Polymarket fees delays and order rules,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://docs.polymarket.com/trading/fees,Point-in-time fee delay tick and cancellation evidence must be captured as venue_rule_snapshot before formal X-07 use,,I,v0,Team_I_compliance_green
O-003,Kalshi API agreement and trading rules,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://kalshi.com/docs/kalshi-member-agreement.pdf,Member eligibility jurisdiction account context API terms and credential authority require Team I review,,I,v0,Team_I_compliance_green
O-004,StatsBomb open data,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,YES,RESEARCH_ONLY,2026-07-22,https://github.com/statsbomb/open-data/blob/master/LICENSE.pdf,License PDF and user agreement require human review before commercial or redistributed use,,I,v0,Team_I_compliance_green
O-005,nba_api and NBA.com statistics,NOT_GREEN_BLOCKED,PROHIBITED,PROHIBITED,YES,BLOCKED,2026-07-22,https://www.nba.com/termsofuse,NBA.com terms prohibit NBA Statistics use with gambling and commercial products absent express permission; counsel confirmation or a licensed alternative feed is required,,I,v0,Team_I_compliance_green
O-006,PMXT Archive v2,GREEN,PERMITTED_WITH_CONDITIONS,PERMITTED_WITH_CONDITIONS,YES,APPROVED,2026-07-22,https://archive.pmxt.dev/docs/v2-data-overview,,I-APPROVAL-PMXT-CC-BY-4.0-20260722,I,v0,Team_I_compliance_green
O-007,Retrosheet,NOT_GREEN_OPEN,PERMITTED_WITH_CONDITIONS,PERMITTED_WITH_CONDITIONS,YES,RESEARCH_ONLY,2026-07-22,https://www.retrosheet.org/notice.txt,Attribution text coverage boundary and downstream redistribution presentation require Team I review,,I,v0,Team_I_compliance_green
O-008,FastF1 and Jolpica,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://github.com/theOehrly/Fast-F1,Code licenses upstream Formula 1 data rights Jolpica terms and volunteer-operated availability risk require separate review,,I,v0,Team_I_compliance_green
R-039,TimeSeventeen Polymarket-v1,GREEN,PERMITTED_WITH_CONDITIONS,PERMITTED_WITH_CONDITIONS,YES,APPROVED,2026-07-22,https://huggingface.co/datasets/TimeSeventeen/Polymarket-v1,,I-APPROVAL-POLYMARKET-V1-CC-BY-4.0-20260722,I,v0,Team_I_compliance_green
I-018,nflverse play-by-play,GREEN,PERMITTED_WITH_CONDITIONS,PERMITTED_WITH_CONDITIONS,YES,APPROVED,2026-07-22,https://github.com/nflverse/nflverse-data,,I-APPROVAL-NFLVERSE-CC-BY-4.0-20260722,I,v0,Team_I_compliance_green
R-042,PredictionMarketBench,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://github.com/Polymarket/PredictionMarketBench,Repository license terms and benchmark data provenance require Team I review before operational use,,I,v0,Team_I_compliance_green
R-043,PolyBench,NOT_GREEN_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,RESEARCH_ONLY,2026-07-22,https://github.com/OctagonAI/PolyBench,Repository license terms and benchmark data provenance require Team I review before operational use,,I,v0,Team_I_compliance_green
